Sl.No	Generic Name	Item Weight	Manufacturer	Product Title	Rating	Number of Ratings	Bought in Past Month	MRP	Discount	Final Price
15	Gold Coin	1 g	KALYAN JEWELLERS	Buy Kalyan Jewellers 24K (999) Purity Swastik Gold Coin 1 Gms at Amazon.in				₹9,679.00	-9%	8,799
16	Gold Coin	1 g	JOS ALUKKAS	Buy Jos Alukkas 22Kt (916) Gold Coin 1 Grams at Amazon.in				₹9,125.91	-10%	8,178
17	Laxmi Coin	5 g	No	Malabar Gold & Diamonds Gold Coin 22K 5 grams | Gold Coin 22k 916 Purity | 22 kt Gold Coin for Birthday, Wedding & Diwali Gift, Goddess Laxmi Impression : Amazon.in: Fashion	4.6 out of 5 stars	273		₹42,700.00	-7%	39,599
18	coin		No	PC Jeweller 1 Gram 24K (995) Yellow Gold Precious Coin : Amazon.in: Fashion	4.3 out of 5 stars	16		₹9,860.00	-8%	9,033
19	Gold Coin	1 g	KALYAN JEWELLERS	Buy Kalyan Jewellers 24K (999) Purity OHM Gold Coin 1 Gms at Amazon.in	5.0 out of 5 stars			₹9,679.00	-9%	8,799
20	Coin	3 g	Malabar Gold & Diamonds	Malabar Gold & Diamonds Gold Coin 24K 3 grams | Gold Coin 24k 999 Purity | 24 kt Gold Coin for Birthday, Wedding & Diwali Gift, Rose Impression : Amazon.in: Jewellery	5.0 out of 5 stars			₹32,490.00	-20%	26,039
21		1 g	P.N.Gadgil Jewelers	Buy P.N.Gadgil Jewellers 24k (995) Goddess Lakshmi 1 gm Yellow Gold Coin at Amazon.in	4.3 out of 5 stars	74		₹76,978.00	-89%	8,800
22	Laxmi Coin	2 g	No	Malabar Gold & Diamonds Gold Coin 24K 2 grams | Gold Coin 24k 999 Purity | 24 kt Gold Coin for Birthday, Wedding & Diwali Gift , Goddess Laxmi Impression : Amazon.in: Fashion	4.6 out of 5 stars	2,018	50+	₹18,600.00	-7%	17,309
23		1 g	P. N. Gadgil Jewellers	P.N.Gadgil Jewellers 1 gm Vedhani Gold coin 24 kt (995) : Amazon.in: Jewellery	4.5 out of 5 stars	37		₹9,312.00	-5%	8,800
24		1 g		Kundan 24k(999.9) 1 gm Lakshmi Ji Yellow Gold Precious Coin : Amazon.in: Jewellery	4.2 out of 5 stars	28		₹9,999.00	-9%	9,050
25		1 g	P.N.Gadgil Jewellers	Buy P.N.Gadgil Jewellers 24k (995) 1 gm Yellow Gold Coin at Amazon.in	4.2 out of 5 stars	37		₹79,394.00	-89%	8,800
26			No	PC Jeweller 24k (995) 1 gm Yellow Gold Coin : Amazon.in: Fashion	4.2 out of 5 stars	24		₹9,860.00	-8%	9,033
27		191 g	Bhima Jewels	Buy Bhima Jewels 24K 999 Purity Lakshmi Gold Coin 1g at Amazon.in	3.7 out of 5 stars	2		₹9,679.00	-6%	9,136
